FIPS,state_code,county_code,state,county,CBSA_code,CBSA_title,metropolitan_or_micropolitan_area,central_or_outlying_county,CSA_code,CSA_title,metropolitan_division_code,metropolitan_division_title
01001,01,001,Alabama,Autauga County,33860,"Montgomery, AL",Metropolitan Statistical Area,Central,388,"Montgomery-Selma-Alexander City, AL",NA,NA
01003,01,003,Alabama,Baldwin County,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,Central,380,"Mobile-Daphne-Fairhope, AL",NA,NA
01005,01,005,Alabama,Barbour County,21640,"Eufaula, AL-GA",Micropolitan Statistical Area,Central,NA,NA,NA,NA
01007,01,007,Alabama,Bibb County,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Outlying,142,"Birmingham-Hoover-Talladega, AL",NA,NA
01009,01,009,Alabama,Blount County,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Outlying,142,"Birmingham-Hoover-Talladega, AL",NA,NA
01015,01,015,Alabama,Calhoun County,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,Central,NA,NA,NA,NA
01017,01,017,Alabama,Chambers County,29300,"LaGrange, GA-AL",Micropolitan Statistical Area,Outlying,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",NA,NA
01021,01,021,Alabama,Chilton County,13820,"Birmingham-Hoover, AL",Metropolitan Statistical Area,Outlying,142,"Birmingham-Hoover-Talladega, AL",NA,NA
01031,01,031,Alabama,Coffee County,21460,"Enterprise, AL",Micropolitan Statistical Area,Central,NA,NA,NA,NA
01033,01,033,Alabama,Colbert County,22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,Central,NA,NA,NA,NA
01037,01,037,Alabama,Coosa County,10760,"Alexander City, AL",Micropolitan Statistical Area,Outlying,388,"Montgomery-Selma-Alexander City, AL",NA,NA
01043,01,043,Alabama,Cullman County,18980,"Cullman, AL",Micropolitan Statistical Area,Central,142,"Birmingham-Hoover-Talladega, AL",NA,NA
01045,01,045,Alabama,Dale County,37120,"Ozark, AL",Micropolitan Statistical Area,Central,222,"Dothan-Ozark, AL",NA,NA
01047,01,047,Alabama,Dallas County,42820,"Selma, AL",Micropolitan Statistical Area,Central,388,"Montgomery-Selma-Alexander City, AL",NA,NA
01049,01,049,Alabama,DeKalb County,22840,"Fort Payne, AL",Micropolitan Statistical Area,Central,497,"Scottsboro-Fort Payne, AL",NA,NA
01051,01,051,Alabama,Elmore County,33860,"Montgomery, AL",Metropolitan Statistical Area,Central,388,"Montgomery-Selma-Alexander City, AL",NA,NA
01053,01,053,Alabama,Escambia County,12120,"Atmore, AL",Micropolitan Statistical Area,Central,426,"Pensacola-Ferry Pass, FL-AL",NA,NA
